House,Q1,Q2,Q3,Q4,Q5,Q6,Q7
Ravenclaw,Ignorant,Statue,Cure>Book>Records,Change appearance,"Tell Flitwick, you'll get points",Stars,Heads
Gryffindor,Ignorant,Statue,Cure>Book>Records,Change appearance,"Proceed with caution, concealed wand",Stars,White
Gryffindor,Ignorant,Statue,Cure>Book>Records,Every area of magic,Confuse Troll,Dusk,Black
Ravenclaw,Ignorant,Statue,Cure>Book>Records,Every area of magic,Ask what makes them think so,Stars,Heads
Ravenclaw,Ignorant,Statue,Cure>Book>Records,Every area of magic,Ask what makes them think so,Stars,Left
Ravenclaw,Ignorant,Statue,Cure>Book>Records,Ghosts,"Tell Flitwick, you'll get points",Dusk,Heads
Gryffindor,Ignorant,Statue,Cure>Book>Records,Ghosts,No one knows you,Forest,White
Gryffindor,Ignorant,Statue,Cure>Book>Records,Werewolves,"Cobbled street, ancient buildings",Moon,Black
Ravenclaw,Ignorant,Statue,Hunger,Change appearance,Eye at keyhole of dark,Forest,Heads
Ravenclaw,Ignorant,Statue,Hunger,Every area of magic,Ask what makes them think so,Stars,Black
Hufflepuff,Ignorant,Statue,Hunger,Werewolves,Ask what makes them think so,Stars,Left
Ravenclaw,Ignorant,Statue,Imitated,Every area of magic,"Tell Flitwick, you'll get points",Dusk,Tails
Ravenclaw,Ignorant,Statue,Imitated,Superstrength,"Cobbled street, ancient buildings",River,White
Ravenclaw,Ignorant,Statue,Praised,Change appearance,Withdraw and review spells,Moon,Left
Gryffindor,Ignorant,Statue,Trusted,Change appearance,Ask what makes them think so,Stars,Left
Ravenclaw,Ignorant,Statue,Trusted,Change appearance,"Cobbled street, ancient buildings",Stars,Left
Ravenclaw,Ignorant,Statue,Trusted,Ghosts,"Cobbled street, ancient buildings",Stars,Heads
Ravenclaw,Ignorant,Statue,Trusted,Invisibility,Ask what makes them think so,Dawn,Right
Gryffindor,Ignorant,Statue,Trusted,Talk to animals,Tell person to tell truth or you will,Forest,Right
Gryffindor,Ignorant,Statue,Trusted,Werewolves,Eye at keyhole of dark,Dusk,Left
Ravenclaw,Ignorant,Talking Toadstools,Cure>Book>Records,Centaurs,Withdraw and review spells,Stars,Heads
Hufflepuff,Ignorant,Talking toadstools,Cure>Book>Records,Every area of magic,"Proceed with caution, concealed wand",River,White
Slytherin,Ignorant,Talking toadstools,Cure>Book>Records,Goblins,No one knows you,Stars,Left
Hufflepuff,Ignorant,Tortoiseshell squeaky box,Cure>Records>Book,Magical Creatures,Lantern-lit alley,Stars,Left
Hufflepuff,Ignorant,Trumpet,Cure>Records>Book,Read minds,Tell Flitwick before the test,Dusk,White
Ravenclaw,Ignorant,Trumpet,Imitated,Superstrength,Confuse Troll,Forest,White
Slytherin,Ignorant,Violin,Being Ignored,Hexes and Jinxes,Ask what makes them think so,Stars,Right
Ravenclaw,Ignorant,Violin,Book>Cure>Records,Centaurs,Ask what makes them think so,Moon,Left
Ravenclaw,Ignorant,Violin,Book>Cure>Records,Read Minds,Withdraw and review spells,Forest,Black
Ravenclaw,Ignorant,Violin,Book>Records>Cure,Apparition/Disapparition,Withdraw and review spells,River,White
Hufflepuff,Ignorant,Violin,Trusted,Magical Creatures,"Tell Flitwick, you'll get points",Dusk,Right
Slytherin,Ignorant,Violin,Trusted,Merpeople,Agree and walk away (bluffing),River,Left
Hufflepuff,Love,Drums,Cure>Book>Records,Transfiguration,Draw lots,Forest,Heads
Slytherin,Love,Drums,Hunger,Centaurs,Offer them a sample of a jinx,River,Black
Ravenclaw,Love,Drums,Hunger,Goblins,Suggest all 3 fight (without informing troll),Forest,Heads
Slytherin,Love,Drums,Liked,Transfiguration,"Draw wand, find source",Moon,Black
Slytherin,Love,Drums,Praised,Merpeople,Nightmare: silly voice,Forest,Heads
Ravenclaw,Love,Fresh Parchment,Book>Cure>Records,Magical Creatures,Tell person to tell truth or you will,Stars,White
Slytherin,Love,Fresh Parchment,Book>Cure>Records,Superstrength,Offer them a sample of a jinx,Dawn,Tails
Gryffindor,Love,Fresh Parchment,Boredom,Invisibility,Volunteer to Fight,Dusk,Black
Slytherin,Love,Fresh Parchment,Boredom,Invisibility,Eye at keyhole of dark,Moon,Tails
Ravenclaw,Love,Fresh Parchment,Cure>Book>Records,Change appearance,"Tell Flitwick, you'll get points",Dusk,Black
Ravenclaw,Love,Fresh Parchment,Cure>Book>Records,Change appearance,Withdraw and review spells,Stars,Heads
Ravenclaw,Love,Fresh Parchment,Cure>Book>Records,Every area of magic,Ask what makes them think so,Dusk,Black
Ravenclaw,Love,Fresh Parchment,Cure>Book>Records,Every area of magic,Confuse Troll,Dusk,Left
Ravenclaw,Love,Fresh Parchment,Cure>Book>Records,Ghosts,"Cobbled street, ancient buildings",Dusk,White
Hufflepuff,Love,Fresh Parchment,Hunger,Werewolves,Confuse troll,Stars,Left
Ravenclaw,Love,Fresh Parchment,Imitated,Transfiguration,Ask what makes them think so,Dusk,Left
Hufflepuff,Love,Fresh Parchment,Loneliness,Werewolves,"Worried about mental health, call Dr.",Moon,Black
Gryffindor,Love,Fresh Parchment,Trusted,Change appearance,Confuse Troll,Forest,Black
Ravenclaw,Love,Fresh Parchment,Trusted,Change appearance,Confuse Troll,Forest,Heads
Gryffindor,Love,Golden sunspots potion,Boredom,Ghosts,Ask what makes them think so,Stars,Left
Gryffindor,Love,Golden sunspots potion,Cure>Book>Records,Centaurs,"Nightmare: high up, no handholds",Forest,Heads
Slytherin,Love,Golden sunspots potion,Cure>Book>Records,Merpeople,Suggest all 3 fight (without informing troll),River,Left
Ravenclaw,Love,Home,Cure>Book>Records,Read Minds,Eye at keyhole of dark,Dawn,Heads
Gryffindor,Love,Home,Loneliness,Ghosts,Tell person to tell truth or you will,Dawn,Tails
Hufflepuff,Love,Home,Loneliness,Invisibility,Ask what makes them think so,River,Right
Gryffindor,Love,Log Fire,Boredom,Centaurs,"Tell Flitwick, you'll get points",Dawn,White
Hufflepuff,Love,Log Fire,Cure>Book>Records,Hexes and jinxes,Agree and walk away (bluffing),Dusk,Heads
Gryffindor,Love,Log Fire,Cure>Records>Book,Castle secrets,Twisting leafy woodsy path,Forest,Right
Gryffindor,Love,Log Fire,Loneliness,Broom Flying,"Cobbled street, ancient buildings",Forest,Left
Gryffindor,Love,Log Fire,Praised,Superstrength,Tell person to tell truth or you will,Forest,Tails
Slytherin,Love,Luminous pool,Boredom,Change appearance,No one knows you,River,Left
Hufflepuff,Love,Luminous pool,Cure>Records>Book,Goblins,No one knows you,River,Right
Gryffindor,Love,Luminous pool,Trusted,Every area of magic,Eye at keyhole of dark,Dawn,Black
Ravenclaw,Love,Merlin's rune box,Book>Cure>Records,Change the past,Tell person to tell truth or you will,Dawn,White
Slytherin,Love,Merlin's rune box,Liked,Every area of magic,Eye at keyhole of dark,Dusk,Tails
Gryffindor,Love,Merlin's rune box,Trusted,Centaurs,Eye at keyhole of dark,Stars,Tails
Slytherin,Love,Merlin's rune box,Trusted,Change appearance,"Cobbled street, ancient buildings",Dusk,Black
Ravenclaw,Love,Ornate temptation box,Cure>Book>Records,Change appearance,Withdraw and review spells,River,Heads
Ravenclaw,Love,Ornate temptation box,Hunger,Ghosts,"Cobbled street, ancient buildings",Forest,Heads
Hufflepuff,Love,Ornate temptation box,Loneliness,Superstrength,Offer them a sample of a jinx,Dawn,Right
Slytherin,Love,Pewter box for worthy,Being Ignored,Change the past,Agree and walk away (bluffing),River,Heads
Gryffindor,Love,Pewter box for worthy,Boredom,Werewolves,Twisting leafy woodsy path,Moon,Tails
Gryffindor,Love,Pewter box for worthy,Cure>Records>Book,Change appearance,Silly voice,Stars,Left
Hufflepuff,Love,Piano,Book>Cure>Records,Merpeople,Eye at keyhole of dark,River,Heads
Ravenclaw,Love,Piano,Cure>Book>Records,Change appearance,"Cobbled street, ancient buildings",Forest,Heads
Ravenclaw,Love,Piano,Cure>Book>Records,Every area of magic,Eye at keyhole of dark,Dawn,Heads
Slytherin,Love,Piano,Cure>Book>Records,Transfiguration,Offer them a sample of a jinx,Moon,Tails
Ravenclaw,Love,Piano,Hunger,Change appearance,Withdraw and review spells,Dusk,Heads
Hufflepuff,Love,Piano,Hunger,Werewolves,"Tell Flitwick, you'll get points",Dusk,Heads
Ravenclaw,Love,Piano,Hunger,Werewolves,Confuse Troll,Forest,Heads
Hufflepuff,Love,Piano,Hunger,Werewolves,Ask what makes them think so,Stars,Left
Slytherin,Love,Piano,Liked,Apparition/Disapparition,Tell person to tell truth or you will,River,Black
Ravenclaw,Love,Piano,Loneliness,Every area of magic,No one knows you,Dawn,White
Gryffindor,Love,Piano,Praised,Centaurs,Agree and walk away (bluffing),Stars,Tails
Ravenclaw,Love,Piano,Trusted,Change appearance,"Cobbled street, ancient buildings",River,Black
Hufflepuff,Love,Piano,Trusted,Ghosts,Withdraw and review spells,Stars,Left
Slytherin,Love,Piano,Trusted,Superstrength,Offer them a sample of a jinx,Forest,Black
Hufflepuff,Love,Piano,Trusted,Werewolves,Withdraw and review spells,Forest,Black
Hufflepuff,Love,Plums and chocolate,Cold,Ghosts,"Proceed with caution, concealed wand",Stars,White
Hufflepuff,Love,Plums and chocolate,Cure>Book>Records,Ghosts,Wide sunny grassy lane,Forest,Right
Slytherin,Love,Sea,Being Ignored,Castle secrets,Offer them a sample of a jinx,River,Heads
Hufflepuff,Love,Sea,Loneliness,Broom Flying,"Worried about mental health, call Dr.",Stars,Tails
Hufflepuff,Love,Sea,Loneliness,Magical Creatures,No one knows you,Forest,Left
Ravenclaw,Love,"Silver tree, golden apple",Hunger,Change appearance,Confuse Troll,Stars,Left
Slytherin,Love,"Silver tree, golden apples",Book>Records>Cure,Talk to animals,Ask what makes them think so,Dusk,Black
Slytherin,Love,"Silver tree, golden apples",Book>Records>Cure,Trolls,Twisting leafy woodsy path,Moon,Black
Gryffindor,Love,"Silver tree, golden apples",Cure>Book>Records,Apparition/Disapparition,Twisting leafy woodsy path,Stars,Black
Ravenclaw,Love,"Silver tree, golden apples",Hunger,Talk to animals,Ask what makes them think so,Forest,Left
Slytherin,Love,"Silver tree, golden apples",Records>Book>Cure,Change the past,Withdraw and review spells,Stars,Black
Slytherin,Love,"Silver tree, golden apples",Records>Book>Cure,Goblins,Tell Flitwick before the test,Dawn,Black
Ravenclaw,Love,Silvery glittery potion,Cure>Book>Records,Every area of magic,Withdraw and review spells,Dusk,Heads
Hufflepuff,Love,Silvery glittery potion,Loneliness,Change appearance,Confuse troll,Stars,White
Gryffindor,Love,Silvery glittery potion,Trusted,Werewolves,Confuse Troll,Stars,Black
Slytherin,Love,Statue,Being Ignored,Change the past,"Tell Flitwick, you'll get points",Moon,White
Gryffindor,Love,Statue,Book>Cure>Records,Centaurs,Volunteer to fight the troll,Dawn,Tails
Gryffindor,Love,Statue,Cure>Book>Records,Change appearance,Withdraw and review spells,Forest,Black
Gryffindor,Love,Statue,Cure>Book>Records,Change appearance,"Proceed with caution, concealed wand",Stars,Black
Ravenclaw,Love,Statue,Cure>Book>Records,Every area of magic,Confuse Troll,Dusk,Heads
Gryffindor,Love,Statue,Cure>Book>Records,Ghosts,"Cobbled street, ancient buildings",Forest,Left
Slytherin,Love,Statue,Hunger,Every area of magic,Eye at keyhole of dark,Dusk,Black
Ravenclaw,Love,Statue,Hunger,Every area of magic,Withdraw and review spells,Dusk,White
Hufflepuff,Love,Statue,Liked,Talk to animals,Twisting leafy woodsy path,Moon,White
Gryffindor,Love,Statue,Trusted,Broom Flying,Eye at keyhole of dark,Stars,Left
Hufflepuff,Love,Statue,Trusted,Change appearance,Confuse troll,Dusk,Heads
Slytherin,Love,Statue,Trusted,Every area of magic,Eye at keyhole of dark,River,Left
Hufflepuff,Love,Statue,Trusted,Every area of magic,Withdraw and review spells,Stars,Left
Hufflepuff,Love,Statue,Trusted,Werewolves,"Cobbled street, ancient buildings",Forest,White
Hufflepuff,Love,Tortoiseshell squeaky box,Cold,Ghosts,Tell Flitwick before the test,Stars,Heads
Ravenclaw,Love,Tortoiseshell squeaky box,Cure>Book>Records,Change appearance,Confuse Troll,Moon,Heads
Ravenclaw,Love,Tortoiseshell squeaky box,Hunger,Ghosts,Twisting leafy woodsy path,Forest,Left
Hufflepuff,Love,Tortoiseshell squeaky box,Liked,Trolls,"Up high, no handholds",Dawn,Black
Ravenclaw,Love,Trumpet,Hunger,Transfiguration,Confuse Troll,Dawn,Tails
Hufflepuff,Love,Trumpet,Hunger,Trolls,Tell Flitwick before the test,Dawn,Tails
Hufflepuff,Love,Trumpet,Hunger,Trolls,Tell person to tell truth or you will,Dawn,Tails
Hufflepuff,Love,Trumpet,Hunger,Trolls,"Up high, no handholds",Dawn,Tails
Ravenclaw,Love,Violin,Being Ignored,Centaurs,Ask what makes them think so,Dusk,Right
Slytherin,Love,Violin,Book>Cure>Records,Change the past,Wide sunny grassy lane,Dusk,Tails
Hufflepuff,Love,Violin,Cure>Book>Records,Centaurs,"Up high, no handholds",River,White
Ravenclaw,LoveÂ,Golden sunspots potion,Being Ignored,Merpeople,Withdraw and review spells,Dawn,Right
Ravenclaw,LoveÂ,Silvery glittery potion,Hunger,Change appearance,"Cobbled street, ancient buildings",Dusk,Heads
Hufflepuff,Miss me and smile,Black visions goblet,Hunger,Superstrength,"Cobbled street, ancient buildings",Moon,Right
Hufflepuff,Miss me and smile,Drums,Cure>Book>Records,Every area of magic,"Worried about mental health, call Dr.",Stars,Left
Hufflepuff,Miss me and smile,Drums,Imitated,Read minds,Tell person to tell truth or you will,Stars,Heads
Hufflepuff,Miss me and smile,Drums,Liked,Ghosts,Eye at keyhole of dark,River,Heads
Gryffindor,Miss me and smile,Drums,Praised,Change the past,Lie and say you don't know,Stars,Left
Ravenclaw,Miss me and smile,Fresh Parchment,Being Ignored,Every area of magic,Confuse Troll,Forest,Tails
Ravenclaw,Miss me and smile,Fresh Parchment,Boredom,Ghosts,Confuse Troll,Dawn,Heads
Ravenclaw,Miss me and smile,Fresh Parchment,Hunger,Transfiguration,Twisting leafy woodsy path,Moon,Black
Hufflepuff,Miss me and smile,Fresh Parchment,Loneliness,Every area of magic,"Proceed with caution, wand concealed",Stars,Right
Ravenclaw,Miss me and smile,Fresh Parchment,Loneliness,Ghosts,Ask what makes them think so,Forest,Tails
Ravenclaw,Miss me and smile,Fresh Parchment,Trusted,Every area of magic,Ask what makes them think so,Stars,White
Hufflepuff,Miss me and smile,Golden sunspots potion,Book>Cure>Records,Castle Secrets,Lie and say you don't know,River,Black
Gryffindor,Miss me and smile,Golden sunspots potion,Book>Cure>Records,Castle secrets,Withdraw and review spells,Stars,Right
Slytherin,Miss me and smile,Golden sunspots potion,Book>Records>Cure,Vampires,Wide sunny grassy lane,Moon,Left
Ravenclaw,Miss me and smile,Golden sunspots potion,Cure>Book>Records,Talk to animals,Volunteer to fight,Forest,White
Hufflepuff,Miss me and smile,Golden sunspots potion,Trusted,Ghosts,Eye at keyhole of dark,Stars,Heads
Hufflepuff,Miss me and smile,Home,Cold,Hexes and jinxes,"Proceed with caution, concealed wand",River,Tails
Hufflepuff,Miss me and smile,Home,Cure>Records>Book,Ghosts,"Proceed with caution, concealed wand",Moon,Black
Hufflepuff,Miss me and smile,Home,Cure>Records>Book,Ghosts,"Proceed with caution, concealed wand",Stars,Black
Hufflepuff,Miss me and smile,Home,Liked,Magical Creatures,"Proceed with caution, concealed wand",Moon,White
Hufflepuff,Miss me and smile,Home,Trusted,Every area of magic,Suggest all 3 fight (without informing troll),Stars,Heads
Ravenclaw,Miss me and smile,Log Fire,Being Ignored,Change appearance,Ask what makes them think so,Forest,Left
Hufflepuff,Miss me and smile,Log Fire,Being Ignored,Trolls,"Proceed with caution, concealed wand",Forest,Right
Hufflepuff,Miss me and smile,Log Fire,Book>Cure>Records,Magical Creatures,Wide sunny grassy lane,Moon,White
Hufflepuff,Miss me and smile,Luminous pool,Book>Cure>Records,Talk to animals,Withdraw and review spells,Dusk,Tails
Slytherin,Miss me and smile,Luminous pool,Book>Records>Cure,Talk to animals,"Worried about mental health, call Dr.",Forest,Right
Hufflepuff,Miss me and smile,Luminous pool,Cure>Book>Records,Change appearance,"Worried about mental health, call Dr.",Stars,Right
Hufflepuff,Miss me and smile,Luminous pool,Envied,Magical Creatures,No one knows you,Dusk,Tails
Slytherin,Miss me and smile,Luminous pool,Envied,Merpeople,No one knows you,River,Tails
Hufflepuff,Miss me and smile,Luminous pool,Envied,Merpeople,Ask what makes them think so,Dusk,White
Hufflepuff,Miss me and smile,Luminous pool,Liked,Every area of magic,Eye at keyhole of dark,Stars,White
Hufflepuff,Miss me and smile,Merlin's rune box,Being Ignored,Werewolves,Eye at keyhole of dark,Moon,Black
Slytherin,Miss me and smile,Merlin's rune box,Book>Cure>Records,Apparition/Disapparition,"Cobbled street, ancient buildings",Dawn,Black
Hufflepuff,Miss me and smile,Merlin's rune box,Boredom,Invisibility,Cobbed street with ancient buildings,River,Heads
Hufflepuff,Miss me and smile,Merlin's rune box,Cold,Read minds,Wide sunny grassy lane,Dusk,Right
Slytherin,Miss me and smile,Merlin's rune box,Cure>Book>Records,Hexes and Jinxes,Draw wand and stand ground,Moon,Black
Gryffindor,Miss me and smile,Merlin's rune box,Liked,Centaurs,Eye at keyhole of dark,Dusk,Tails
Hufflepuff,Miss me and smile,Ornate temptation box,Book>Records>Cure,Magical Creatures,No one knows you,Stars,Black
Ravenclaw,Miss me and smile,Ornate temptation box,Praised,Every area of magic,Withdraw and review spells,Dawn,Left
Gryffindor,Miss me and smile,Pewter box for worthy,Hunger,Change appearance,Draw wand and stand ground,Forest,Right
Slytherin,Miss me and smile,Piano,Being Ignored,Change Appearance,"Tell Flitwick, you'll get points",Dusk,Tails
Gryffindor,Miss me and smile,Piano,Being Ignored,Ghosts,Eye at keyhole of dark,Dawn,Right
Ravenclaw,Miss me and smile,Piano,Book>Cure>Records,Ghosts,No one knows you,Forest,Left
Ravenclaw,Miss me and smile,Piano,Boredom,Change appearance,"Tell Flitwick, you'll get points",Dawn,White
Hufflepuff,Miss me and smile,Piano,Cold,Talk to animals,"Tell Flitwick, you'll get points",Stars,Left
Ravenclaw,Miss me and smile,Piano,Loneliness,Every area of magic,Ask what makes them think so,Dawn,Left
Ravenclaw,Miss me and smile,Piano,Loneliness,Every area of magic,Suggest all 3 fight (without informing troll),Dusk,Left
Hufflepuff,Miss me and smile,Piano,Loneliness,Werewolves,Wide sunny grassy lane,Moon,Tails
Gryffindor,Miss me and smile,Piano,Praised,Castle secrets,Lie and say you don't know,Stars,Black
Hufflepuff,MIss me and smile,Piano,Records>Book>Cure,Broom Flying,Silly voice,Dawn,Heads
Hufflepuff,Miss me and smile,Piano,Trusted,Ghosts,"Proceed with caution, concealed wand",Dusk,Left
Hufflepuff,Miss me and smile,Piano,Trusted,Talk to animals,Wide sunny grassy lane,River,Heads
Hufflepuff,Miss me and smile,Plums and chocolate,Cure>Records>Book,Ghosts,Ask what makes them think so,Dawn,Tails
Hufflepuff,Miss me and smile,Plums and chocolate,Cure>Records>Book,Invisibility,No one knows you,Stars,Heads
Hufflepuff,Miss me and smile,Plums and chocolate,Cure>Records>Book,Invisibility,No one knows you,Stars,Heads
Hufflepuff,Miss me and smile,Plums and chocolate,Loneliness,Every area of magic,"Tell Flitwick, you'll get points",Dusk,Left
Hufflepuff,Miss me and smile,Plums and chocolate,Records>Book>Cure,Invisibility,Eye at keyhole of dark,Dawn,White
Slytherin,Miss me and smile,Plums and chocolate,Records>Book>Cure,Merpeople,"Cobbled street, ancient buildings",Dawn,Left
Hufflepuff,Miss me and smile,Plums and chocolate,Trusted,Invisibility,Eye at keyhole of dark,Stars,Right
Slytherin,Miss me and smile,Sea,Book>Cure>Records,Castle secrets,Ask what makes them think so,River,Black
Gryffindor,Miss me and smile,Sea,Book>Cure>Records,Invisibility,Eye at keyhole of dark,Forest,White
Gryffindor,Miss me and smile,Sea,Cure>Book>Records,Ghosts,Agree and walk away (bluffing),Stars,White
Hufflepuff,Miss me and smile,Sea,Envied,Talk to animals,No one knows you,River,White
Ravenclaw,Miss me and smile,"Silver tree, golden apples",Book>Cure>Records,Ghosts,Offer them a sample of a jinx,Dusk,Right
Ravenclaw,Miss me and smile,"Silver tree, golden apples",Cure>Book>Records,Every area of magic,Confuse Troll,Dusk,Tails
Ravenclaw,Miss me and smile,"Silver tree, golden apples",Feared,Transfiguration,"Up high, no handholds",Dusk,Heads
Ravenclaw,Miss me and smile,"Silver tree, golden apples",Records>Cure>Book,Talk to animals,Ask what makes them think so,Moon,White
Hufflepuff,Miss me and smile,Silvery glittery potion,Hunger,Every area of magic,"Proceed with caution, concealed wand",Stars,Heads
Hufflepuff,Miss me and smile,Silvery glittery potion,Loneliness,Change appearance,Offer them a sample of a jinx,Stars,White
Ravenclaw,Miss me and smile,Silvery glittery potion,Loneliness,Every area of magic,Ask what makes them think so,Moon,Heads
Hufflepuff,Miss me and smile,Silvery glittery potion,Loneliness,Every area of magic,Twisting leafy woodsy path,Dusk,Tails
Gryffindor,Miss me and smile,Silvery glittery potion,Loneliness,Werewolves,Volunteer to fight,Forest,Left
Slytherin,Miss me and smile,Silvery glittery potion,Records>Cure>Book,Every area of magic,Suggest all 3 fight (without informing troll),River,Black
Slytherin,Miss me and smile,Silvery glittery potion,Trusted,Every area of magic,Twisting leafy woodsy path,Moon,Tails
Slytherin,Miss me and smile,Silvery glittery potion,Trusted,Every area of magic,Twisting leafy woodsy path,Moon,Tails
Gryffindor,Miss me and smile,Smell: Parchment,Records>Book>Cure,Invisibility,Eye at keyhole of dark,Forest,White
Slytherin,Miss me and smile,Statue,Book>Cure>Records,Change the past,Twisting leafy woodsy path,Moon,Heads
Ravenclaw,Miss me and smile,Statue,Praised,Ghosts,Withdraw and review spells,Moon,White
Gryffindor,Miss me and smile,Statue,Trusted,Read Minds,Eye at keyhole of dark,Stars,Tails
Slytherin,Miss me and smile,Talking toadstools,Being Ignored,Ghosts,No one knows you,Dusk,Tails
Slytherin,Miss me and smile,Talking toadstools,Cold,Goblins,Tell person to tell truth or you will,Dusk,Left
Gryffindor,Miss me and smile,Talking toadstools,Cure>Book>Records,Magical Creatures,Volunteer to fight the troll,Dawn,Tails
Hufflepuff,Miss me and smile,Talking toadstools,Hunger,Change the past,Wide sunny grassy lane,Stars,Heads
Hufflepuff,Miss me and smile,Talking toadstools,Hunger,Invisibility,Suggest all 3 fight (without informing troll),River,Tails
Hufflepuff,MIss me and smile,Talking toadstools,Trusted,Ghosts,No one knows you,Dawn,Heads
Slytherin,Miss me and smile,Tortoiseshell squeaky box,Boredom,Werewolves,"Proceed with caution, concealed wand",River,Black
Hufflepuff,Miss me and smile,Tortoiseshell squeaky box,Cold,Ghosts,Confuse troll,Dusk,Black
Hufflepuff,Miss me and smile,Tortoiseshell squeaky box,Cold,Merpeople,Eye at keyhole of dark,Stars,Right
Hufflepuff,Miss me and smile,Tortoiseshell squeaky box,Cure>Book>Records,Talk to animals,Volunteer to fight,Stars,White
Hufflepuff,Miss me and smile,Tortoiseshell squeaky box,Cure>Records>Book,Change appearance,Eye at keyhole of dark,River,Left
Hufflepuff,Miss me and smile,Tortoiseshell squeaky box,Envied,Magical Creatures,Ask what makes them think so,Dusk,Left
Gryffindor,Miss me and smile,Tortoiseshell squeaky box,Trusted,Centaurs,Tell person to tell truth or you will,Dusk,Black
Hufflepuff,Miss me and smile,Violin,Being Ignored,Magical Creatures,No one knows you,River,Left
Ravenclaw,Miss me and smile,Violin,Book>Cure>Records,Every area of magic,Suggest all 3 fight (without informing troll),Stars,Heads
Ravenclaw,Miss me and smile,Violin,Book>Cure>Records,Talk to animals,"Cobbled street, ancient buildings",Stars,Black
Hufflepuff,Miss me and smile,Violin,Book>Cure>Records,Talk to animals,Withdraw and review spells,River,White
Hufflepuff,Miss me and smile,Violin,Cure>Records>Book,Every area of magic,"Proceed with caution, concealed wand",Dawn,Right
Ravenclaw,Miss me and smile,Violin,Loneliness,Magical Creatures,"Tell Flitwick, you'll get points",Forest,White
Slytherin,Miss me and smile,Violin,Praised,Centaur,"Tell Flitwick, you'll get points",River,Tails
Gryffindor,Miss me and smile,Violin,Trusted,Centaurs,Twisting leafy woodsy path,Stars,Right
Hufflepuff,Miss me and smile,Violin,Trusted,Vampires,Ask what makes them think so,Stars,Heads
Slytherin,Opinion matters when alive,Black visions goblet,Book>Cure>Records,Invisibility,Confuse troll,Stars,Tails
Slytherin,Opinion matters when alive,Black visions goblet,Cold,Werewolves,Confuse troll,Dusk,Tails
Gryffindor,Opinion matters when alive,Drums,Boredom,Superstrength,Tell person to tell truth or you will,Dawn,Right
Slytherin,Opinion matters when alive,Drums,Cure>Book>Records,Merpeople,Withdraw and review spells,River,Left
Slytherin,Opinion matters when alive,Drums,Cure>Book>Records,Merpeople,Withdraw and review spells,River,Left
Slytherin,Opinion matters when alive,Drums,Envied,Transfiguration,Offer them a sample of a jinx,Dawn,Right
Gryffindor,Opinion matters when alive,Drums,Imitated,Ghosts,Agree and walk away (bluffing),Dawn,Black
Gryffindor,Opinion matters when alive,Drums,Imitated,Ghosts,Agree and walk away (bluffing),Dawn,Black
Slytherin,Opinion matters when alive,Home,Trusted,Centaurs,"Cobbled street, ancient buildings",Dusk,Left
Hufflepuff,Opinion matters when alive,Home,Trusted,Ghosts,Wide sunny grassy lane,Dawn,Right
Hufflepuff,Opinion matters when alive,Home,Trusted,Magical Creatures,"Cobbled street, ancient buildings",Stars,White
Slytherin,Opinion matters when alive,Log Fire,Envied,Trolls,Withdraw and review spells,River,Heads
Slytherin,Opinion matters when alive,Log Fire,Hunger,Read minds,No one knows you,Moon,Left
Slytherin,Opinion matters when alive,Luminous pool,Boredom,Magical Creatures,Eye at keyhole of dark,Dawn,Black
Slytherin,Opinion matters when alive,Luminous pool,Cold,Ghosts,"Worried about mental health, call Dr.",River,Right
Slytherin,Opinion matters when alive,Luminous pool,Cure>Records>Book,Castle secrets,No one knows you,River,Tails
Slytherin,Opinion matters when alive,Luminous pool,Trusted,Every area of magic,Withdraw and review spells,Forest,Tails
Slytherin,Opinion matters when alive,Merlin's rune box,Being Ignored,Every area of magic,Suggest all 3 fight (without informing troll),Moon,Left
Slytherin,Opinion matters when alive,Merlin's rune box,Being Ignored,Merpeople,"Worried about mental health, call Dr.",Dawn,Black
Slytherin,Opinion matters when alive,Merlin's rune box,Boredom,Change appearance,Confuse troll,Moon,Tails
Gryffindor,Opinion matters when alive,Merlin's rune box,Boredom,Change the past,Twisting leafy woodsy path,Forest,Left
Slytherin,Opinion matters when alive,Merlin's rune box,Envied,Apparition/Disapparition,"Tell Flitwick, you'll get points",Dusk,Tails
Ravenclaw,Opinion matters when alive,Merlin's rune box,Hunger,Change appearance,Suggest all 3 fight (without informing troll),Dawn,Heads
Ravenclaw,Opinion matters when alive,Merlin's rune box,Hunger,Change appearance,Suggest all 3 fight (without informing troll),Forest,Heads
Slytherin,Opinion matters when alive,Merlin's rune box,Trusted,Transfiguration,"Tell Flitwick, you'll get points",River,Black
Slytherin,Opinion matters when alive,Ornate temptation box,Book>Records>Cure,Centaurs,"Cobbled street, ancient buildings",River,Black
Slytherin,Opinion matters when alive,Ornate temptation box,Cure>Book>Records,Every area of magic,Volunteer to fight,Dusk,Heads
Gryffindor,Opinion matters when alive,Ornate temptation box,Cure>Book>Records,Magical Creatures,Agree and walk away (bluffing),Dawn,Right
Gryffindor,Opinion matters when alive,Ornate temptation box,Cure>Book>Records,Superstrength,Agree and walk away (bluffing),Dawn,Black
Hufflepuff,Opinion matters when alive,Ornate temptation box,Cure>Book>Records,Superstrength,Agree and walk away (bluffing),River,Right
Slytherin,Opinion matters when alive,Ornate temptation box,Hunger,Superstrength,Suggest all 3 fight (without informing troll),Moon,White
